Location Type,Incident Zip,City,Borough,Latitude,Longitude,num_calls
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70273581,-73.93378282,133
Club/Bar/Restaurant,11377,WOODSIDE,QUEENS,40.74202303,-73.91894077,52
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.71911165,-73.95851391,33
Residential Building/House,11233,BROOKLYN,BROOKLYN,40.68230634,-73.92894289,205
House of Worship,11238,BROOKLYN,BROOKLYN,40.67828644,-73.96862327,50
Park/Playground,10003,NEW YORK,MANHATTAN,40.72341408,-73.98833624,21
Store/Commercial,11237,BROOKLYN,BROOKLYN,40.70369027,-73.92802565,55
Street/Sidewalk,11216,BROOKLYN,BROOKLYN,40.68180409,-73.94986236,120
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72706617,-73.97977402,21
Store/Commercial,10012,NEW YORK,MANHATTAN,40.72124893,-73.99458138,14
Residential Building/House,11205,BROOKLYN,BROOKLYN,40.69334103,-73.96688165,114
House of Worship,11205,BROOKLYN,BROOKLYN,40.6895765,-73.97175508,36
Park/Playground,10003,NEW YORK,MANHATTAN,40.72677922,-73.98898508,11
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.72306913,-73.95039412,86
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.71162426,-73.95939148,96
Club/Bar/Restaurant,11369,EAST ELMHURST,QUEENS,40.76061551,-73.87288317,11
Store/Commercial,10031,NEW YORK,MANHATTAN,40.82572712,-73.94880363,23
Residential Building/House,11205,BROOKLYN,BROOKLYN,40.6899826,-73.97123926,11
House of Worship,10002,NEW YORK,MANHATTAN,40.71708494,-73.9914433,32
Park/Playground,10011,NEW YORK,MANHATTAN,40.73306797,-73.9982933,30
Store/Commercial,10003,NEW YORK,MANHATTAN,40.72781936,-73.98776542,24
Street/Sidewalk,10128,NEW YORK,MANHATTAN,40.78084021,-73.94957114,70
Club/Bar/Restaurant,11233,BROOKLYN,BROOKLYN,40.68242682,-73.93793128,11
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70739295,-73.94267269,11
Residential Building/House,10032,NEW YORK,MANHATTAN,40.84270816,-73.93675169,728
House of Worship,10023,NEW YORK,MANHATTAN,40.77761333,-73.97925678,15
Park/Playground,10022,NEW YORK,MANHATTAN,40.75633063,-73.96747478,31
Store/Commercial,10019,NEW YORK,MANHATTAN,40.7657348,-73.98360333,228
Street/Sidewalk,11222,BROOKLYN,BROOKLYN,40.7221796,-73.94986445,24
Club/Bar/Restaurant,10022,NEW YORK,MANHATTAN,40.75929243,-73.9682458,13
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71024228,-73.96350792,59
Residential Building/House,11238,BROOKLYN,BROOKLYN,40.68268743,-73.96313,22
House of Worship,10012,NEW YORK,MANHATTAN,40.72282442,-73.99442252,54
Park/Playground,10002,NEW YORK,MANHATTAN,40.7193687,-73.9932179,59
Store/Commercial,11416,OZONE PARK,QUEENS,40.6801084,-73.86059446,60
Street/Sidewalk,11221,BROOKLYN,BROOKLYN,40.68470544,-73.94418492,28
Club/Bar/Restaurant,10459,BRONX,BRONX,40.82350569,-73.89181878,12
Store/Commercial,10002,NEW YORK,MANHATTAN,40.72100917,-73.98407971,18
Residential Building/House,11375,FOREST HILLS,QUEENS,40.71916742,-73.8421903,26
House of Worship,11102,ASTORIA,QUEENS,40.7702664,-73.9188378,10
Park/Playground,11101,LONG ISLAND CITY,QUEENS,40.74263781,-73.95358052,50
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68829839,-73.95708715,81
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72712725,-73.9841937,11
Club/Bar/Restaurant,11238,BROOKLYN,BROOKLYN,40.67383824,-73.96299069,60
Store/Commercial,11218,BROOKLYN,BROOKLYN,40.63972478,-73.96772979,12
Residential Building/House,11375,FOREST HILLS,QUEENS,40.71954389,-73.84250687,63
House of Worship,10016,NEW YORK,MANHATTAN,40.7438043,-73.98373864,34
Park/Playground,11222,BROOKLYN,BROOKLYN,40.72663629,-73.9480788,16
Store/Commercial,10024,NEW YORK,MANHATTAN,40.78591202,-73.97260615,61
Street/Sidewalk,10026,NEW YORK,MANHATTAN,40.80635431,-73.9539551,17
Club/Bar/Restaurant,10028,NEW YORK,MANHATTAN,40.77666244,-73.95554624,11
Store/Commercial,10019,NEW YORK,MANHATTAN,40.76045668,-73.98373097,14
Residential Building/House,10013,NEW YORK,MANHATTAN,40.71639867,-74.00964963,13
House of Worship,10301,STATEN ISLAND,STATEN ISLAND,40.61898465,-74.10608833,11
Park/Playground,10029,NEW YORK,MANHATTAN,40.79564993,-73.9367025,26
Store/Commercial,10033,NEW YORK,MANHATTAN,40.85465602,-73.93704036,22
Street/Sidewalk,11234,BROOKLYN,BROOKLYN,40.61897721,-73.92657171,185
Club/Bar/Restaurant,10031,NEW YORK,MANHATTAN,40.82382294,-73.94428864,21
Store/Commercial,10014,NEW YORK,MANHATTAN,40.73524167,-74.00606204,38
Residential Building/House,11374,REGO PARK,QUEENS,40.71586504,-73.86102109,25
House of Worship,10014,NEW YORK,MANHATTAN,40.73815366,-74.0090249,28
Park/Playground,10002,NEW YORK,MANHATTAN,40.72100139,-73.9878785,24
Store/Commercial,10040,NEW YORK,MANHATTAN,40.85734316,-73.93231304,29
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.69959035,-73.94423377,70
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.72475941,-73.99331115,13
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71577141,-73.9588695,14
Residential Building/House,11212,BROOKLYN,BROOKLYN,40.6571417,-73.91980078,14
House of Worship,11377,WOODSIDE,QUEENS,40.75317252,-73.90498435,72
Park/Playground,11237,BROOKLYN,BROOKLYN,40.70896635,-73.92472682,10
Store/Commercial,10019,NEW YORK,MANHATTAN,40.76391016,-73.98865404,68
Street/Sidewalk,11249,BROOKLYN,BROOKLYN,40.71093446,-73.96513432,34
Club/Bar/Restaurant,10032,NEW YORK,MANHATTAN,40.83853602,-73.94159476,40
Store/Commercial,11234,BROOKLYN,BROOKLYN,40.63249702,-73.93392817,16
Residential Building/House,11103,ASTORIA,QUEENS,40.76502017,-73.91738937,30
House of Worship,11211,BROOKLYN,BROOKLYN,40.71138031,-73.94674525,47
Park/Playground,10013,NEW YORK,MANHATTAN,40.7188309,-73.99755053,24
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72409376,-73.98070211,25
Street/Sidewalk,11204,BROOKLYN,BROOKLYN,40.61361381,-73.9810402,14
Club/Bar/Restaurant,11238,BROOKLYN,BROOKLYN,40.68334712,-73.96621238,38
Store/Commercial,10025,NEW YORK,MANHATTAN,40.79365992,-73.97066719,106
Residential Building/House,10014,NEW YORK,MANHATTAN,40.7339463,-74.00048351,27
House of Worship,10018,NEW YORK,MANHATTAN,40.75667818,-73.9943511,24
Park/Playground,10031,NEW YORK,MANHATTAN,40.82103435,-73.95724362,21
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72440629,-73.97860951,15
Street/Sidewalk,11215,BROOKLYN,BROOKLYN,40.6658646,-73.98904921,11
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.7199886,-73.98809514,22
Store/Commercial,11417,OZONE PARK,QUEENS,40.67187351,-73.8431061,11
Residential Building/House,10019,NEW YORK,MANHATTAN,40.76055827,-73.98399084,35
House of Worship,10463,BRONX,BRONX,40.87892449,-73.90478656,15
Park/Playground,10462,BRONX,BRONX,40.84649962,-73.86001444,10
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70066107,-73.92966987,39
Street/Sidewalk,10021,NEW YORK,MANHATTAN,40.76838707,-73.95558787,45
Club/Bar/Restaurant,10463,BRONX,BRONX,40.88403476,-73.89796587,10
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71366785,-73.94931535,46
Residential Building/House,10012,NEW YORK,MANHATTAN,40.72133686,-73.99708866,51
House of Worship,10014,NEW YORK,MANHATTAN,40.73388589,-74.00263405,15
Park/Playground,10002,NEW YORK,MANHATTAN,40.72116616,-73.98868657,44
Store/Commercial,10455,BRONX,BRONX,40.81258038,-73.90596163,23
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.70769793,-73.95581586,93
Club/Bar/Restaurant,10025,NEW YORK,MANHATTAN,40.79924045,-73.9628704,21
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73184063,-73.98986103,18
Residential Building/House,10017,NEW YORK,MANHATTAN,40.75405004,-73.96852622,70
House of Worship,10009,NEW YORK,MANHATTAN,40.72403031,-73.97888382,22
Park/Playground,10033,NEW YORK,MANHATTAN,40.85198792,-73.93176905,28
Store/Commercial,11418,RICHMOND HILL,QUEENS,40.70211545,-73.82056959,19
Street/Sidewalk,10002,NEW YORK,MANHATTAN,40.72141034,-73.98769444,30
Club/Bar/Restaurant,11385,RIDGEWOOD,QUEENS,40.70256374,-73.90062398,18
Store/Commercial,10463,BRONX,BRONX,40.88355217,-73.89849823,56
Residential Building/House,10075,NEW YORK,MANHATTAN,40.77076607,-73.95384973,103
House of Worship,11206,BROOKLYN,BROOKLYN,40.70791011,-73.9450059,23
Park/Playground,11435,JAMAICA,QUEENS,40.69821675,-73.80633134,26
Store/Commercial,10467,BRONX,BRONX,40.87153719,-73.8772306,49
Street/Sidewalk,10471,BRONX,BRONX,40.88923532,-73.90039556,50
Club/Bar/Restaurant,11368,CORONA,QUEENS,40.75168549,-73.85543864,16
Store/Commercial,10036,NEW YORK,MANHATTAN,40.76181083,-73.99387056,30
Residential Building/House,10019,NEW YORK,MANHATTAN,40.7623246,-73.9764531,132
House of Worship,11106,ASTORIA,QUEENS,40.7603875,-73.92199029,120
Park/Playground,11367,FLUSHING,QUEENS,40.71865809,-73.81360953,46
Store/Commercial,10036,NEW YORK,MANHATTAN,40.75962609,-73.99547346,20
Street/Sidewalk,10013,NEW YORK,MANHATTAN,40.72593131,-74.00842073,32
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.73178846,-73.98969145,81
Store/Commercial,10033,NEW YORK,MANHATTAN,40.84862709,-73.93424121,14
Residential Building/House,10040,NEW YORK,MANHATTAN,40.86328205,-73.9267828,286
House of Worship,10014,NEW YORK,MANHATTAN,40.73400669,-74.00005412,70
Park/Playground,10003,NEW YORK,MANHATTAN,40.73609748,-73.98721542,70
Store/Commercial,10002,NEW YORK,MANHATTAN,40.7207874,-73.98885619,20
Street/Sidewalk,10005,NEW YORK,MANHATTAN,40.70619093,-74.00916485,26
Club/Bar/Restaurant,11211,BROOKLYN,BROOKLYN,40.71254873,-73.95796249,40
Store/Commercial,10032,NEW YORK,MANHATTAN,40.84332975,-73.93914372,20
Residential Building/House,11238,BROOKLYN,BROOKLYN,40.68067802,-73.96238479,30
House of Worship,11004,GLEN OAKS,QUEENS,40.73713914,-73.70921876,21
Park/Playground,11103,ASTORIA,QUEENS,40.76523994,-73.91390907,64
Store/Commercial,10027,NEW YORK,MANHATTAN,40.80467738,-73.94773257,19
Street/Sidewalk,11415,KEW GARDENS,QUEENS,40.70605964,-73.83143704,33
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.75934044,-73.99195767,21
Store/Commercial,10014,NEW YORK,MANHATTAN,40.72860489,-74.00531458,10
Residential Building/House,11103,ASTORIA,QUEENS,40.76548132,-73.91369938,27
House of Worship,10003,NEW YORK,MANHATTAN,40.73058315,-73.98621703,24
Park/Playground,10012,NEW YORK,MANHATTAN,40.72671632,-73.99169101,24
Store/Commercial,10012,NEW YORK,MANHATTAN,40.72924728,-74.00006494,68
Street/Sidewalk,11216,BROOKLYN,BROOKLYN,40.67413684,-73.95380845,22
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.72146258,-73.98852418,22
Store/Commercial,11217,BROOKLYN,BROOKLYN,40.68088064,-73.98371072,10
Residential Building/House,11232,BROOKLYN,BROOKLYN,40.65171843,-74.00463814,10
House of Worship,11211,BROOKLYN,BROOKLYN,40.72004918,-73.95534951,18
Park/Playground,10031,NEW YORK,MANHATTAN,40.82259297,-73.94952505,13
Store/Commercial,10040,NEW YORK,MANHATTAN,40.85717578,-73.93239997,20
Street/Sidewalk,11215,BROOKLYN,BROOKLYN,40.66759276,-73.98100684,14
Club/Bar/Restaurant,10009,NEW YORK,MANHATTAN,40.72983031,-73.98079426,11
Store/Commercial,11249,BROOKLYN,BROOKLYN,40.7122186,-73.96382426,15
Residential Building/House,10002,NEW YORK,MANHATTAN,40.72285427,-73.98957017,31
House of Worship,11372,JACKSON HEIGHTS,QUEENS,40.75568407,-73.88411081,15
Park/Playground,10007,NEW YORK,MANHATTAN,40.71406302,-74.00770861,17
Store/Commercial,10302,STATEN ISLAND,STATEN ISLAND,40.63322528,-74.13667392,19
Street/Sidewalk,10033,NEW YORK,MANHATTAN,40.85044819,-73.9366612,10
Club/Bar/Restaurant,10024,NEW YORK,MANHATTAN,40.78670595,-73.97571503,10
Store/Commercial,10002,NEW YORK,MANHATTAN,40.71407655,-73.98984209,12
Residential Building/House,10014,NEW YORK,MANHATTAN,40.72854728,-74.0046471,28
House of Worship,10075,NEW YORK,MANHATTAN,40.77242188,-73.95570793,27
Park/Playground,11222,BROOKLYN,BROOKLYN,40.73657808,-73.95530596,11
Store/Commercial,10469,BRONX,BRONX,40.87904927,-73.84311987,11
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70071878,-73.92978883,37
Club/Bar/Restaurant,11234,BROOKLYN,BROOKLYN,40.61478363,-73.93656785,32
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70482471,-73.93401518,87
Residential Building/House,10012,NEW YORK,MANHATTAN,40.72223429,-73.99433237,27
House of Worship,11435,JAMAICA,QUEENS,40.70227392,-73.81152746,17
Park/Playground,10011,NEW YORK,MANHATTAN,40.73875786,-74.00019486,179
Store/Commercial,11221,BROOKLYN,BROOKLYN,40.69622255,-73.93391551,98
Street/Sidewalk,10003,NEW YORK,MANHATTAN,40.72477819,-73.98794997,11
Club/Bar/Restaurant,11249,BROOKLYN,BROOKLYN,40.71776846,-73.96366974,26
Store/Commercial,11216,BROOKLYN,BROOKLYN,40.67127809,-73.95035693,38
Residential Building/House,10002,NEW YORK,MANHATTAN,40.72205788,-73.98570651,42
House of Worship,10002,NEW YORK,MANHATTAN,40.72042228,-73.98817082,38
Park/Playground,10002,NEW YORK,MANHATTAN,40.71942599,-73.9887013,10
Store/Commercial,10011,NEW YORK,MANHATTAN,40.74371747,-74.00597259,28
Street/Sidewalk,10458,BRONX,BRONX,40.85930241,-73.89807612,54
Club/Bar/Restaurant,10012,NEW YORK,MANHATTAN,40.72827564,-73.99935778,37
Store/Commercial,11216,BROOKLYN,BROOKLYN,40.67845538,-73.9496774,25
Residential Building/House,11385,RIDGEWOOD,QUEENS,40.70484883,-73.90560866,13
House of Worship,10010,NEW YORK,MANHATTAN,40.73964395,-73.98965415,22
Park/Playground,10030,NEW YORK,MANHATTAN,40.8172264,-73.94229989,46
Store/Commercial,11238,BROOKLYN,BROOKLYN,40.68729923,-73.95691111,199
Street/Sidewalk,10009,NEW YORK,MANHATTAN,40.72292768,-73.98354531,61
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.71757618,-73.99052335,18
Store/Commercial,10033,NEW YORK,MANHATTAN,40.8458189,-73.93857399,64
Residential Building/House,10451,BRONX,BRONX,40.82552296,-73.92654974,13
House of Worship,11106,ASTORIA,QUEENS,40.76042049,-73.92205884,15
Park/Playground,11205,BROOKLYN,BROOKLYN,40.69492271,-73.95309084,43
Store/Commercial,10457,BRONX,BRONX,40.85434768,-73.90059963,12
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.71355468,-73.96188648,39
Club/Bar/Restaurant,11230,BROOKLYN,BROOKLYN,40.61101573,-73.97340545,15
Store/Commercial,11103,ASTORIA,QUEENS,40.76750843,-73.91203971,32
Residential Building/House,10463,BRONX,BRONX,40.87823133,-73.90299396,12
House of Worship,10021,NEW YORK,MANHATTAN,40.770663,-73.95701963,44
Park/Playground,11211,BROOKLYN,BROOKLYN,40.71189525,-73.95734249,10
Store/Commercial,10003,NEW YORK,MANHATTAN,40.72602991,-73.9890754,20
Street/Sidewalk,11221,BROOKLYN,BROOKLYN,40.68970483,-73.91852118,109
Club/Bar/Restaurant,10027,NEW YORK,MANHATTAN,40.80921013,-73.94444898,29
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.72336564,-73.95056707,10
Residential Building/House,10016,NEW YORK,MANHATTAN,40.7436844,-73.97359429,17
House of Worship,10029,NEW YORK,MANHATTAN,40.79756979,-73.93910248,11
Park/Playground,10003,NEW YORK,MANHATTAN,40.72639229,-73.98988711,18
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73288601,-73.98624181,19
Street/Sidewalk,11211,BROOKLYN,BROOKLYN,40.71346027,-73.95874828,30
Club/Bar/Restaurant,11106,ASTORIA,QUEENS,40.76115715,-73.92366432,16
Store/Commercial,10023,NEW YORK,MANHATTAN,40.77638923,-73.97952074,13
Residential Building/House,11103,ASTORIA,QUEENS,40.7669823,-73.91689597,20
House of Worship,10304,STATEN ISLAND,STATEN ISLAND,40.62553848,-74.07577709,12
Park/Playground,11433,JAMAICA,QUEENS,40.70789309,-73.78672142,75
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71472927,-73.94180064,27
Street/Sidewalk,10025,NEW YORK,MANHATTAN,40.79976023,-73.96620747,14
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.7189536,-73.98611482,22
Store/Commercial,10014,NEW YORK,MANHATTAN,40.7293296,-74.00235605,23
Residential Building/House,10470,BRONX,BRONX,40.8985862,-73.86738879,19
House of Worship,11432,JAMAICA,QUEENS,40.7118486,-73.78986498,62
Park/Playground,11422,ROSEDALE,QUEENS,40.67413839,-73.72954485,18
Store/Commercial,11385,RIDGEWOOD,QUEENS,40.69645621,-73.90014263,13
Street/Sidewalk,11216,BROOKLYN,BROOKLYN,40.68315344,-73.95385989,36
Club/Bar/Restaurant,11203,BROOKLYN,BROOKLYN,40.65232958,-73.92727379,25
Store/Commercial,10014,NEW YORK,MANHATTAN,40.73853272,-74.00387196,51
Residential Building/House,11377,WOODSIDE,QUEENS,40.74279466,-73.91560894,96
House of Worship,10457,BRONX,BRONX,40.8512885,-73.89878603,31
Park/Playground,10467,BRONX,BRONX,40.87639511,-73.87964798,11
Store/Commercial,10036,NEW YORK,MANHATTAN,40.76038872,-73.98934771,11
Street/Sidewalk,11237,BROOKLYN,BROOKLYN,40.70640957,-73.92261612,45
Club/Bar/Restaurant,10040,NEW YORK,MANHATTAN,40.86265183,-73.92846821,79
Store/Commercial,11205,BROOKLYN,BROOKLYN,40.69639887,-73.9674968,32
Residential Building/House,10034,NEW YORK,MANHATTAN,40.86553576,-73.9272684,88
House of Worship,11221,BROOKLYN,BROOKLYN,40.6896471,-73.91839865,10
Park/Playground,11206,BROOKLYN,BROOKLYN,40.70733558,-73.94320295,15
Store/Commercial,10025,NEW YORK,MANHATTAN,40.80000172,-73.96604481,72
Street/Sidewalk,10001,NEW YORK,MANHATTAN,40.74550121,-73.98925987,32
Club/Bar/Restaurant,11435,JAMAICA,QUEENS,40.70223509,-73.81128232,21
Store/Commercial,10024,NEW YORK,MANHATTAN,40.78873125,-73.97426256,23
Residential Building/House,11385,RIDGEWOOD,QUEENS,40.70405345,-73.90977549,64
House of Worship,10028,NEW YORK,MANHATTAN,40.77757461,-73.95105398,143
Park/Playground,10025,NEW YORK,MANHATTAN,40.79856266,-73.96336198,20
Store/Commercial,10034,NEW YORK,MANHATTAN,40.86895885,-73.91583208,65
Street/Sidewalk,11419,SOUTH RICHMOND HILL,QUEENS,40.6857644,-73.82746439,99
Club/Bar/Restaurant,11103,ASTORIA,QUEENS,40.76754409,-73.91201078,73
Store/Commercial,11415,KEW GARDENS,QUEENS,40.70605965,-73.83144065,19
Residential Building/House,11375,FOREST HILLS,QUEENS,40.71924727,-73.84237049,14
House of Worship,11232,BROOKLYN,BROOKLYN,40.64600662,-73.99860904,19
Park/Playground,10032,NEW YORK,MANHATTAN,40.8390628,-73.9412076,140
Store/Commercial,10011,NEW YORK,MANHATTAN,40.74406051,-74.00680988,12
Street/Sidewalk,10011,NEW YORK,MANHATTAN,40.74420325,-74.00669441,119
Club/Bar/Restaurant,10458,BRONX,BRONX,40.8598744,-73.89321652,34
Store/Commercial,11209,BROOKLYN,BROOKLYN,40.62267862,-74.02541404,32
Residential Building/House,10458,BRONX,BRONX,40.85399666,-73.88889542,12
House of Worship,11215,BROOKLYN,BROOKLYN,40.66859873,-73.99339609,38
Park/Playground,10036,NEW YORK,MANHATTAN,40.76056167,-73.9897231,44
Store/Commercial,11222,BROOKLYN,BROOKLYN,40.73420647,-73.95492868,13
Street/Sidewalk,11219,BROOKLYN,BROOKLYN,40.620266,-73.99822054,13
Club/Bar/Restaurant,11237,BROOKLYN,BROOKLYN,40.70169627,-73.92181373,103
Store/Commercial,10023,NEW YORK,MANHATTAN,40.776993,-73.97910533,11
Residential Building/House,10016,NEW YORK,MANHATTAN,40.74244241,-73.98050554,100
House of Worship,11225,BROOKLYN,BROOKLYN,40.65683338,-73.96013845,67
Park/Playground,11217,BROOKLYN,BROOKLYN,40.67854566,-73.973429,18
Store/Commercial,11103,ASTORIA,QUEENS,40.75784759,-73.91660416,49
Street/Sidewalk,10012,NEW YORK,MANHATTAN,40.7276114,-74.00127,23
Club/Bar/Restaurant,10036,NEW YORK,MANHATTAN,40.76478896,-73.9959027,30
Store/Commercial,11105,ASTORIA,QUEENS,40.77159735,-73.90757916,23
Residential Building/House,10009,NEW YORK,MANHATTAN,40.72986362,-73.98316836,26
House of Worship,10018,NEW YORK,MANHATTAN,40.7520028,-73.98325661,24
Park/Playground,11207,BROOKLYN,BROOKLYN,40.67937376,-73.88643908,12
Store/Commercial,10031,NEW YORK,MANHATTAN,40.83045842,-73.94749912,31
Street/Sidewalk,10029,NEW YORK,MANHATTAN,40.79318722,-73.94056193,18
Club/Bar/Restaurant,11211,BROOKLYN,BROOKLYN,40.71765265,-73.95444927,23
Store/Commercial,11105,ASTORIA,QUEENS,40.76964227,-73.90999712,13
Residential Building/House,10002,NEW YORK,MANHATTAN,40.72250863,-73.9920487,37
House of Worship,11106,ASTORIA,QUEENS,40.76152269,-73.92440391,23
Park/Playground,10003,NEW YORK,MANHATTAN,40.73465934,-73.98828737,20
Store/Commercial,11219,BROOKLYN,BROOKLYN,40.62277199,-73.99796111,47
Street/Sidewalk,11375,FOREST HILLS,QUEENS,40.7192403,-73.84532504,14
Club/Bar/Restaurant,10013,NEW YORK,MANHATTAN,40.71948409,-73.99540404,38
Store/Commercial,11377,WOODSIDE,QUEENS,40.74425235,-73.91224003,14
Residential Building/House,11372,JACKSON HEIGHTS,QUEENS,40.75565695,-73.88443932,21
House of Worship,10031,NEW YORK,MANHATTAN,40.82427381,-73.95203494,38
Park/Playground,10025,NEW YORK,MANHATTAN,40.80234631,-73.96810968,69
Store/Commercial,11103,ASTORIA,QUEENS,40.76863581,-73.9111068,17
Street/Sidewalk,10036,NEW YORK,MANHATTAN,40.760405,-73.98747426,33
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.72114427,-73.98939367,16
Store/Commercial,11419,SOUTH RICHMOND HILL,QUEENS,40.69146867,-73.82069199,12
Residential Building/House,10025,NEW YORK,MANHATTAN,40.80237264,-73.96430262,10
House of Worship,11103,ASTORIA,QUEENS,40.76761182,-73.91825619,34
Park/Playground,11694,ROCKAWAY PARK,QUEENS,40.58075262,-73.83390611,12
Store/Commercial,10025,NEW YORK,MANHATTAN,40.80645153,-73.96504816,42
Street/Sidewalk,11207,BROOKLYN,BROOKLYN,40.67934096,-73.88657253,40
Club/Bar/Restaurant,11103,ASTORIA,QUEENS,40.76902594,-73.91524717,13
Store/Commercial,11377,WOODSIDE,QUEENS,40.74480252,-73.91025803,33
Residential Building/House,11103,ASTORIA,QUEENS,40.76570463,-73.91882892,10
House of Worship,10036,NEW YORK,MANHATTAN,40.76011682,-73.98767285,26
Park/Playground,11419,SOUTH RICHMOND HILL,QUEENS,40.69001621,-73.82574419,17
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71267449,-73.95661335,17
Street/Sidewalk,10457,BRONX,BRONX,40.85124461,-73.8988114,19
Club/Bar/Restaurant,11223,BROOKLYN,BROOKLYN,40.59645556,-73.97803836,68
Store/Commercial,10003,NEW YORK,MANHATTAN,40.73287502,-73.98616604,88
Residential Building/House,11210,BROOKLYN,BROOKLYN,40.63069697,-73.94539737,142
House of Worship,11105,ASTORIA,QUEENS,40.77554692,-73.91454925,27
Park/Playground,11209,BROOKLYN,BROOKLYN,40.62192499,-74.03167804,22
Store/Commercial,10024,NEW YORK,MANHATTAN,40.78597322,-73.97625335,20
Street/Sidewalk,11238,BROOKLYN,BROOKLYN,40.68268194,-73.96311197,40
Club/Bar/Restaurant,10031,NEW YORK,MANHATTAN,40.82513202,-73.94397319,27
Store/Commercial,10014,NEW YORK,MANHATTAN,40.72970008,-74.0044776,11
Residential Building/House,10032,NEW YORK,MANHATTAN,40.83917804,-73.94113522,26
House of Worship,10009,NEW YORK,MANHATTAN,40.723084,-73.98267582,49
Park/Playground,10022,NEW YORK,MANHATTAN,40.76333659,-73.972749,24
Store/Commercial,10128,NEW YORK,MANHATTAN,40.78106247,-73.94941932,20
Street/Sidewalk,10019,NEW YORK,MANHATTAN,40.76929579,-73.99493849,17
Club/Bar/Restaurant,10003,NEW YORK,MANHATTAN,40.73132176,-73.98861269,12
Store/Commercial,11203,BROOKLYN,BROOKLYN,40.65160575,-73.93310919,45
Residential Building/House,11211,BROOKLYN,BROOKLYN,40.71869299,-73.95465418,11
House of Worship,11206,BROOKLYN,BROOKLYN,40.70411268,-73.9478547,26
Park/Playground,11238,BROOKLYN,BROOKLYN,40.67631977,-73.95593759,43
Store/Commercial,10013,NEW YORK,MANHATTAN,40.7260026,-74.00931188,16
Street/Sidewalk,11206,BROOKLYN,BROOKLYN,40.70624307,-73.94301632,60
Club/Bar/Restaurant,10128,NEW YORK,MANHATTAN,40.78002803,-73.95016753,45
Store/Commercial,11206,BROOKLYN,BROOKLYN,40.70810405,-73.94306884,32
Residential Building/House,11103,ASTORIA,QUEENS,40.76524269,-73.91390546,13
House of Worship,11103,ASTORIA,QUEENS,40.76751941,-73.91202887,13
Park/Playground,11222,BROOKLYN,BROOKLYN,40.72242119,-73.94999415,25
Store/Commercial,11207,BROOKLYN,BROOKLYN,40.67638691,-73.89157433,51
Street/Sidewalk,11102,ASTORIA,QUEENS,40.77027188,-73.91883057,51
Club/Bar/Restaurant,10002,NEW YORK,MANHATTAN,40.72010392,-73.9884703,10
Store/Commercial,11201,BROOKLYN,BROOKLYN,40.68808605,-73.9867739,10
Residential Building/House,11103,ASTORIA,QUEENS,40.76452537,-73.91636115,12
House of Worship,10010,NEW YORK,MANHATTAN,40.74093692,-73.9921295,36
Park/Playground,10016,NEW YORK,MANHATTAN,40.74361478,-73.98282205,21
Store/Commercial,11211,BROOKLYN,BROOKLYN,40.71680457,-73.95458693,10
Street/Sidewalk,11232,BROOKLYN,BROOKLYN,40.65262688,-74.00616265,13
Club/Bar/Restaurant,11372,JACKSON HEIGHTS,QUEENS,40.75607293,-73.88055479,161
Store/Commercial,10009,NEW YORK,MANHATTAN,40.72787656,-73.98416105,13
Residential Building/House,10022,NEW YORK,MANHATTAN,40.75648955,-73.9664893,25
House of Worship,11249,BROOKLYN,BROOKLYN,40.71070456,-73.96739965,20
Park/Playground,10028,NEW YORK,MANHATTAN,40.77667983,-73.95104381,18
Store/Commercial,10025,NEW YORK,MANHATTAN,40.79806598,-73.96372343,73
